INSTITUTE_CODE,INSTITUTE_NAME,EMAIL,STATE,INSTITUTE_TYPE
1001,ASSAM SCIENCE AND TECHNOLOGY UNIVERSITY,squadron.institute@gmail.com,ASSAM,DEGREE
1002,DIBRUGARH UNIVERSITY,squadron.institute@gmail.com,ASSAM,DIPLOMA
1003,ASSAM COTTON SCHOOL,squadron.institute@gmail.com,ASSAM,SCHOOL
1004,ANDHRA UNIVERSITY,squadron.institute@gmail.com,ANDHRA PRADESH,UNIVERSITY
1005,KRISHNA UNIVERSITY,squadron.institute@gmail.com,ANDHRA PRADESH,DIPLOMA
1006,SRI VENKATESWARA SCHOOL,squadron.institute@gmail.com,ANDHRA PRADESH,SCHOOL
1007,MAGADH UNIVERSITY,squadron.institute@gmail.com,BIHAR,DEGREE
1008,PATNA UNIVERSITY,squadron.institute@gmail.com,BIHAR,DIPLOMA
1009,JAI PRAKASH SCHOOL,squadron.institute@gmail.com,BIHAR,SCHOOL
1010,PANJAB UNIVERSITY,squadron.institute@gmail.com,CHANDIGARH,DEGREE
1011,PANJAB UNIVERSITY,squadron.institute@gmail.com,CHANDIGARH,DIPLOMA
1012,CHANDIGARH CENTRAL SCHOOL,squadron.institute@gmail.com,CHANDIGARH,SCHOOL
1013,CHHATTISGARH TECHNOLOGICAL UNIVERSITY,squadron.institute@gmail.com,CHHATTISGARH,DEGREE
1014,SARGUJA UNIVERSITY,squadron.institute@gmail.com,CHHATTISGARH,DIPLOMA
1015,BILASPUR VISHWAVIDYALAYA,squadron.institute@gmail.com,CHHATTISGARH,SCHOOL
1016,DELHI TECHNOLOGICAL UNIVERSITY	,squadron.institute@gmail.com,DELHI,DEGREE
1017,DELHI TECHNOLOGICAL UNIVERSITY,squadron.institute@gmail.com,DELHI,DIPLOMA
1018,DELHI PUBLIC SCHOOL,squadron.institute@gmail.com,DELHI,SCHOOL
1019,GOA UNIVERSITY,squadron.institute@gmail.com,GOA,DEGREE
1020,GOA UNIVERSITY,squadron.institute@gmail.com,GOA,DIPLOMA
1021,GOA PUBLIC SCHOOL,squadron.institute@gmail.com,GOA,SCHOOL
1022,GUJARAT TECHNOLOGICAL UNIVERSITY,squadron.institute@gmail.com,GUJARAT,DEGREE
1023,GUJARAT UNIVERSITY,squadron.institute@gmail.com,GUJARAT,DIPLOMA
1024,GUJARAT PUBLIC SCHOOL,squadron.institute@gmail.com,GUJARAT,SCHOOL
1025,KURUKSHETRA UNIVERSITY,squadron.institute@gmail.com,HARYANA,DEGREE
1026,MAHARSHI DAYANAND UNIVERSITY,squadron.institute@gmail.com,HARYANA,DIPLOMA
1027,HARYANA PUBLIC SCHOOL,squadron.institute@gmail.com,HARYANA,SCHOOL
1028,HIMACHAL PRADESH TECHNICAL UNIVERSITY,squadron.institute@gmail.com,HIMACHAL PRADESH,DEGREE
1029,HIMACHAL PRADESH UNIVERSITY,squadron.institute@gmail.com,HIMACHAL PRADESH,DIPLOMA
1030,HIMACHAL PRADESH PUBLIC SCHOOL,squadron.institute@gmail.com,HIMACHAL PRADESH,SCHOOL
1031,UNIVERSITY OF JAMMU,squadron.institute@gmail.com,JAMMU,DEGREE
1032,CLUSTER UNIVERSITY OF SRINAGAR,squadron.institute@gmail.com,JAMMU & KASHMIR,DIPLOMA
1033,JAMMU AND KASHMIR PUBLIC SCHOOL,squadron.institute@gmail.com,JAMMU AND KASHMIR,SCHOOL
1034,RANCHI UNIVERSITY,squadron.institute@gmail.com,JHARKHAND,DEGREE
1035,JHARKHAND UNIVERSITY,squadron.institute@gmail.com,JHARKHAND,DIPLOMA
1036,JHARKHAND PUBLIC SCHOOL,squadron.institute@gmail.com,JHARKHAND,SCHOOL
1037,BANGALORE UNIVERSITY	,squadron.institute@gmail.com,KARNATAKA,DEGREE
1038,UNIVERSITY OF MYSORE,squadron.institute@gmail.com,KARNATAKA,DIPLOMA
1039,BANGALORE PUBLIC SCHOOL,squadron.institute@gmail.com,KARNATAKA,SCHOOL
1040,APJ ABDUL KALAM TECHNOLOGICAL UNIVERSITY,squadron.institute@gmail.com,KERALA,DEGREE
1041,MAHATMA GANDHI UNIVERSITY,squadron.institute@gmail.com,KERALA,DIPLOMA
1042,KERALA PUBLIC SCHOOL,squadron.institute@gmail.com,KERALA,SCHOOL
1043,JIWAJI UNIVERSITY,squadron.institute@gmail.com,MADHYA PRADESH,DEGREE
1044,VIKRAM UNIVERSITY,squadron.institute@gmail.com,MADHYA PRADESH,DIPLOMA
1045,MADHYA PRADESH PUBLIC SCHOOL,squadron.institute@gmail.com,MADHYA PRADESH,SCHOOL
1046,SAVITRIBAI PHULE PUNE UNIVERSITY,squadron.institute@gmail.com,MAHARASHTRA,DEGREE
1047,UNIVERSITY OF MUMBAI,squadron.institute@gmail.com,MAHARASHTRA,DEGREE
1048,MAHARASHTRA PUBLIC SCHOOL,squadron.institute@gmail.com,MAHARASHTRA,SCHOOL
1049,MANIPUR TECHNICAL UNIVERSITY,squadron.institute@gmail.com,MANIPUR,DEGREE
1050,MANIPUR TECHNICAL UNIVERSITY,squadron.institute@gmail.com,MANIPUR,DIPLOMA
1051,MANIPUR PUBLIC SCHOOL,squadron.institute@gmail.com,MANIPUR,SCHOOL
1052,BIJU PATNAIK UNIVERSITY OF TECHNOLOGY,squadron.institute@gmail.com,ODISHA,DEGREE
1053,SAMBALPUR UNIVERSITY,squadron.institute@gmail.com,ODISHA,DIPLOMA
1054,NORTH ORISSA PUBLIC SCHOOL,squadron.institute@gmail.com,ODISHA,SCHOOL
1055,PUNJABI UNIVERSITY,squadron.institute@gmail.com,PUNJAB,DEGREE
1056,MAHARAJA RANJIT SINGH PUNJAB TECHNICAL UNIVERSITY,squadron.institute@gmail.com,PUNJAB,DIPLOMA
1057,PUNJAB PUBLIC SCHOOL,squadron.institute@gmail.com,PUNJAB,SCHOOL
1058,RAJASTHAN TECHNICAL UNIVERSITY,squadron.institute@gmail.com,RAJASTHAN,DEGREE
1059,UNIVERSITY OF RAJASTHAN,squadron.institute@gmail.com,RAJASTHAN,DIPLOMA
1060,JAIPUR PUBLIC SCHOOL,squadron.institute@gmail.com,RAJASTHAN,SCHOOL
1061,ANNA UNIVERSITY,squadron.institute@gmail.com,TAMIL NADU,SCHOOL
1062,UNIVERSITY OF MADRAS,squadron.institute@gmail.com,TAMIL NADU,DIPLOMA
